"Country Name","Continent","Total Population","Square Miles","Population Per Mile"
"Christmas Island","Oceania",2500,135,18.52
"Equatorial Guinea","Africa",453000,28051,16.15
"Somalia","Africa",10097000,637657,15.83
"Vanuatu","Oceania",190000,12189,15.59
"Solomon Islands","Oceania",444000,28896,15.37
"Finland","Europe",5171300,338145,15.29
"New Zealand","Oceania",3862000,270534,14.28
"Norway","Europe",4478500,323877,13.83
"Paraguay","South America",5496000,406752,13.51
"Argentina","South America",37032000,2780400,13.32
"Algeria","Africa",31471000,2381740,13.21
"Zambia","Africa",9169000,752618,12.18
"Sudan","Africa",29490000,2505810,11.77
"New Caledonia","Oceania",214000,18575,11.52
"Belize","North America",241000,22696,10.62
"Papua New Guinea","Oceania",4807000,462840,10.39
"Angola","Africa",12878000,1246700,10.33
"Saudi Arabia","Asia",21607000,2149690,10.05
"Turkmenistan","Asia",4459000,488100,9.14
"Mali","Africa",11234000,1240190,9.06
"Russian Federation","Europe",146934000,17075400,8.61
"Congo","Africa",2943000,342000,8.61
"Niger","Africa",10730000,1267000,8.47
"Oman","Asia",2542000,309500,8.21
"Niue","Oceania",2000,260,7.69
"Bolivia","South America",8329000,1098580,7.58
"Chad","Africa",7651000,1284000,5.96
"Kazakstan","Asia",16223000,2724900,5.95
"Central African Republic","Africa",3615000,622984,5.8
"Gabon","Africa",1226000,267668,4.58
"Guyana","South America",861000,214969,4.01
"Libyan Arab Jamahiriya","Africa",5605000,1759540,3.19
"Canada","North America",31147000,9970610,3.12
"Botswana","Africa",1622000,581730,2.79
"Iceland","Europe",279000,103000,2.71
"Mauritania","Africa",2670000,1025520,2.6
"Suriname","South America",417000,163265,2.55
"Australia","Oceania",18886000,7741220,2.44
"Namibia","Africa",1726000,824292,2.09
"French Guiana","South America",181000,90000,2.01
"Mongolia","Asia",2662000,1566500,1.7
"Western Sahara","Africa",293000,266000,1.1
"Pitcairn","Oceania",50,49,1.02
"Falkland Islands","South America",2000,12173,0.16
"Svalbard and Jan Mayen","Europe",3200,62422,0.05
"Greenland","North America",56000,2166090,0.03
